Title,Rating,Oscars,Total Nominations and Awards,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number
Home Alone (1990),7.6,Nominated for 2 Oscars,11 wins & 6 nominations total,Chris Columbus,"$476,684,675",PG,527,105,517K
The Wicker Man (1973),7.5,Awards,2 wins & 6 nominations,Robin Hardy,"Sep 29, 2013",R,558,189,77K
Le salaire de la peur (1953),8.1,Awards,6 wins total,Henri-Georges Clouzot,"$1,098",Not Rated,181,148,59K
The Treasure of the Sierra Madre (1948),8.2,Won 3 Oscars,16 wins & 8 nominations total,John Huston,"$5,014,000",Passed,304,104,121K
Un condamné à mort s'est échappé ou Le vent souffle où il veut (1956),8.3,Awards,4 wins & 3 nominations total,Robert Bresson,A Man Escaped or: The Wind Bloweth Where It Listeth,Not Rated,80,110,21K
T2 Trainspotting (2017),7.2,Awards,6 wins & 8 nominations,Danny Boyle,"$41,681,746",R,309,397,120K
Zodiac (2007),7.7,Awards,4 wins & 72 nominations,David Fincher,"$84,785,914",R,912,422,505K
The Wrestler (2008),7.9,Nominated for 2 Oscars,58 wins & 93 nominations total,Darren Aronofsky,"$44,734,660",R,634,337,298K
Desperado (1995),7.2,Awards,1 win & 5 nominations,Robert Rodriguez,"$25,405,445",R,236,98,180K
The Rundown (2003),6.7,Awards,2 wins & 3 nominations,Peter Berg,"$80,981,914",PG-13,277,148,105K
Jumanji: The Next Level (2019),6.7,Awards,1 win & 12 nominations,Jake Kasdan,"$800,059,707",PG-13,1K,249,224K
Empire of the Sun (1987),7.7,Nominated for 6 Oscars,13 wins & 17 nominations total,Steven Spielberg,"Dec 13, 1987",PG,372,69,121K
The Abyss (1989),7.5,Won 1 Oscar,9 wins & 15 nominations total,James Cameron,"$90,000,098",PG-13,477,112,172K
A Beautiful Mind (2001),8.2,Won 4 Oscars,37 wins & 69 nominations total,Ron Howard,"$316,791,257",PG-13,1.3K,159,889K
Shutter Island (2010),8.2,Awards,11 wins & 66 nominations,Martin Scorsese,"$294,805,697",R,1.4K,531,1.2M
Groundhog Day (1993),8.0,Awards,7 wins & 17 nominations total,Harold Ramis,"$71,074,049",PG,851,138,599K
The Hangover (2009),7.7,Awards,13 wins & 25 nominations total,Todd Phillips,"$469,310,836",R,784,351,749K
Source Code (2011),7.5,Awards,1 win & 8 nominations,Duncan Jones,"$147,332,697",PG-13,688,542,503K
Amadeus (1984),8.3,Won 8 Oscars,43 wins & 15 nominations total,Milos Forman,"$52,066,791",PG,687,127,385K
21 (2008),6.8,Awards,1 win & 5 nominations,Robert Luketic,"$159,808,370",PG-13,333,155,240K
Ocean's Thirteen (2007),6.9,Awards,1 win & 5 nominations,Steven Soderbergh,"$311,312,624",PG-13,342,254,334K
Thank You for Smoking (2005),7.6,Awards,12 wins & 32 nominations,Jason Reitman,"$39,323,027",R,451,248,218K
The Adjustment Bureau (2011),7.0,Awards,1 win & 9 nominations,George Nolfi,"$127,869,379",PG-13,507,428,252K
Minority Report (2002),7.6,Nominated for 1 Oscar,20 wins & 91 nominations total,Steven Spielberg,"$358,372,926",PG-13,1.4K,266,530K
The Fighter (2010),7.8,Won 2 Oscars,73 wins & 124 nominations total,David O. Russell,"$129,190,869",R,479,420,354K
Warrior (2011),8.1,Nominated for 1 Oscar,5 wins & 22 nominations total,Gavin O'Connor,"$23,308,615",PG-13,760,348,453K
Bad Boys (1995),6.9,Awards,4 nominations,Michael Bay,"$141,407,024",R,308,80,253K
"I, Robot (2004)",7.1,Nominated for 1 Oscar,1 win & 15 nominations total,Alex Proyas,"$353,133,898",PG-13,865,220,519K
Joe Kidd (1972),6.5,Nominated for 1 Oscar,1 win & 15 nominations total,Alex Proyas,"$6,330,000",PG-13,865,220,519K
What Women Want (2000),6.4,Awards,5 wins & 9 nominations,Nancy Meyers,"$374,111,707",PG-13,434,123,202K
Le pacte des loups (2001),7.0,Awards,4 wins & 22 nominations,Christophe Gans,"$70,752,904",R,525,197,65K
First Man (2018),7.3,Won 1 Oscar,32 wins & 196 nominations total,Damien Chazelle,"$105,713,218",PG-13,1.4K,491,180K
Hunter Killer (2018),6.6,Awards,1 win,Donovan Marsh,"$31,676,128",R,815,128,60K
Geostorm (2017),5.3,Awards,1 win & 1 nomination,Dean Devlin,"$221,600,160",PG-13,805,159,102K
Stromboli (Terra di Dio) (1950),7.3,Awards,2 wins & 1 nomination,Roberto Rossellini,"$1,000,000 (estimated)",Approved,46,60,6.6K
Tombstone (1993),7.8,Awards,2 nominations,George P. Cosmatos,"$56,505,065",R,560,88,138K
Sunset Blvd. (1950),8.4,Won 3 Oscars,18 wins & 20 nominations total,Billy Wilder,"$300,073",Passed,667,192,213K
Taken (2008),7.8,Awards,2 wins & 2 nominations,Pierre Morel,"$226,837,760",PG-13,1.1K,278,584K
The Outlaw Josey Wales (1976),7.8,Nominated for 1 Oscar,1 win & 2 nominations total,Clint Eastwood,"$31,800,000",PG,248,59,71K
The Post (2017),7.2,Nominated for 2 Oscars,20 wins & 113 nominations total,Steven Spielberg,"$180,419,276",PG-13,511,451,145K
Killer Elite (2011),6.4,Awards,2 wins & 8 nominations,Gary McKendry,"$57,084,522",R,201,202,127K
Quigley Down Under (1990),6.9,Awards,2 wins & 1 nomination,Simon Wincer,"$21,413,105",PG-13,130,32,22K
Darkest Hour (2017),7.4,Won 2 Oscars,53 wins & 80 nominations total,Joe Wright,"$150,847,274",PG-13,671,426,188K
The Shape of Water (2017),7.3,Won 4 Oscars,137 wins & 353 nominations total,Guillermo del Toro,"$195,333,312",R,1.7K,1K,397K
"I, Tonya (2017)",7.5,Won 1 Oscar,45 wins & 126 nominations total,Craig Gillespie,"$53,939,297",R,540,438,201K
Suicide Squad (2016),5.9,Won 1 Oscar,17 wins & 40 nominations total,David Ayer,"$746,846,894",PG-13,2.4K,686,657K
The Mummy (2017),5.4,Awards,6 wins & 17 nominations,Alex Kurtzman,"$409,231,607",PG-13,983,444,181K
Man of Tai Chi (2013),6.1,Awards,6 wins & 17 nominations,Alex Kurtzman,"$5,464,885",PG-13,983,444,181K
Resident Evil: Apocalypse (2004),6.2,Awards,6 wins & 3 nominations,Alexander Witt,"$129,342,769",R,719,210,193K
Elvis (TV Movie 1979),7.0,Nominated for 3 Primetime Emmys,4 nominations total,John Carpenter,"$2,100,000 (estimated)",R,719,210,193K
Man of Steel (2013),7.0,Awards,7 wins & 46 nominations total,Zack Snyder,"$668,045,518",PG-13,3K,781,736K
Jumper (2008),6.1,Awards,2 wins & 5 nominations,Doug Liman,"$225,132,113",PG-13,554,243,298K
Annihilation (2018),6.8,Awards,16 wins & 62 nominations,Alex Garland,"$43,070,915",R,2K,450,302K
Hostiles (2017),7.2,Awards,4 wins & 7 nominations,Scott Cooper,"$35,669,017",R,505,202,79K
Big Fish (2003),8.0,Nominated for 1 Oscar,69 nominations total,Tim Burton,"Dec 14, 2003",PG-13,918,253,430K
Okja (2017),7.3,Awards,7 wins & 21 nominations,Bong Joon Ho,"$2,049,823",TV-MA,373,286,114K
"McFarland, USA (2015)",7.4,Awards,4 wins & 3 nominations,Niki Caro,"$45,710,059",PG,115,119,37K
Risky Business (1983),6.8,Awards,3 nominations,Paul Brickman,"$63,541,777",R,212,71,86K
Meng long guo jiang (1972),7.3,Awards,1 win & 1 nomination,Bruce Lee,"$130,000 (estimated)",R,142,76,36K
Jing wu men (1972),7.3,Awards,2 wins & 1 nomination,Wei Lo,"$100,000 (estimated)",R,112,91,29K
Two Mules for Sister Sara (1970),7.0,Awards,2 nominations,Don Siegel,"$5,050,000",GP,84,45,27K
Home Alone 2: Lost in New York (1992),6.8,Awards,3 wins & 3 nominations,Chris Columbus,"$358,994,850",PG,304,68,327K
Species (1995),5.8,Awards,3 wins & 8 nominations,Roger Donaldson,"$113,374,103",R,173,132,78K
Men in Black 3 (2012),6.8,Awards,1 win & 13 nominations,Barry Sonnenfeld,"$624,026,776",PG-13,410,464,349K
American Gangster (2007),7.8,Nominated for 2 Oscars,12 wins & 38 nominations total,Ridley Scott,"$269,755,430",R,541,305,410K
Analyze That (2002),5.9,Awards,1 win,Harold Ramis,"$55,003,135",R,149,92,84K
The Whole Ten Yards (2004),5.5,Awards,1 win & 1 nomination,Howard Deutch,"$26,170,671",PG-13,125,77,56K
Daddy's Home 2 (2017),6.0,Awards,1 win & 8 nominations,Sean Anders,"$180,613,824",PG-13,249,148,68K
Lethal Weapon 3 (1992),6.7,Awards,3 wins & 4 nominations,Richard Donner,"$321,731,527",R,170,79,163K
The Passion of the Christ (2004),7.2,Nominated for 3 Oscars,29 wins & 24 nominations total,Mel Gibson,"$612,054,506",R,2.9K,408,224K
Bad Day at Black Rock (1955),7.7,Nominated for 3 Oscars,4 wins & 8 nominations total,John Sturges,"$10,813",Passed,174,71,21K
Cool Hand Luke (1967),8.1,Won 1 Oscar,4 wins & 10 nominations total,Stuart Rosenberg,"$3,200,000 (estimated)",GP,374,137,171K
The Talented Mr. Ripley (1999),7.4,Nominated for 5 Oscars,10 wins & 81 nominations total,Anthony Minghella,"$128,799,509",R,779,181,199K
Copycat (1995),6.6,Awards,2 wins & 1 nomination,Jon Amiel,"$32,051,917",R,189,69,58K
The Devil Wears Prada (2006),6.9,Nominated for 2 Oscars,19 wins & 53 nominations total,David Frankel,2.39 : 1,PG-13,776,204,394K
Happy Death Day (2017),6.6,Awards,3 nominations,Christopher Landon,"$125,479,266",PG-13,557,310,131K
The Cabin in the Woods (2011),7.0,Awards,20 wins & 34 nominations,Drew Goddard,"$70,055,998",R,1.3K,685,398K
Moonrise Kingdom (2012),7.8,Nominated for 1 Oscar,36 wins & 122 nominations total,Wes Anderson,"$68,264,022",PG-13,483,512,335K
Killing Them Softly (2012),6.2,Awards,3 wins & 9 nominations,Andrew Dominik,"$37,930,465",R,468,431,139K
The Grand Budapest Hotel (2014),8.1,Won 4 Oscars,134 wins & 226 nominations total,Wes Anderson,"Mar 9, 2014",R,979,579,755K
The Mountain Between Us (2017),6.4,Awards,2 wins & 1 nomination,Hany Abu-Assad,"$62,832,209",PG-13,383,173,72K
Man on Fire (2004),7.7,Awards,1 win & 7 nominations,Tony Scott,"$130,834,852",R,849,159,348K
Falling Down (1993),7.6,Awards,1 win & 2 nominations,Joel Schumacher,"$40,903,593",R,492,96,182K
The Perfect Storm (2000),6.4,Nominated for 2 Oscars,4 wins & 27 nominations total,Wolfgang Petersen,"$328,718,434",PG-13,812,178,163K
American Pie 2 (2001),6.4,Awards,8 wins & 6 nominations,J.B. Rogers,"$287,553,595",R,455,134,248K
Cloverfield (2008),7.0,Awards,5 wins & 34 nominations,Matt Reeves,"$172,394,180",PG-13,2.4K,478,386K
Terminator 3: Rise of the Machines (2003),6.3,Awards,3 wins & 24 nominations,Jonathan Mostow,"$433,371,112",R,1.7K,292,388K
Elf (2003),7.0,Awards,2 wins & 7 nominations,Jon Favreau,"Nov 9, 2003",PG,574,131,242K
Teenage Mutant Ninja Turtles (2014),5.8,Awards,1 win & 11 nominations,Jonathan Liebesman,"$485,004,754",PG-13,574,368,206K
Lo chiamavano Trinità... (1970),7.5,Awards,1 win & 11 nominations,Jonathan Liebesman,My Name Is Trinity,PG-13,574,368,206K
I due superpiedi quasi piatti (1977),7.2,Awards,1 win,Enzo Barboni,"$33,642",PG,21,14,11K
"20,000 Leagues Under the Sea (1954)",7.2,Won 2 Oscars,5 wins & 3 nominations total,Richard Fleischer,Jules Verne's 20000 Leagues Under the Sea,G,158,81,33K
The Lake House (2006),6.8,Awards,2 wins & 2 nominations,Alejandro Agresti,2.35 : 1,PG,623,170,146K
Evil Dead (2013),6.5,Awards,6 wins & 19 nominations,Fede Alvarez,"$97,542,952",R,973,551,165K
Amistad (1997),7.3,Nominated for 4 Oscars,11 wins & 43 nominations total,Steven Spielberg,"$44,229,441",R,251,92,75K
Terminator Salvation (2009),6.5,Awards,2 wins & 14 nominations,McG,"$371,353,001",PG-13,1.1K,440,353K
TRON (1982),6.8,Nominated for 2 Oscars,2 wins & 8 nominations total,Steven Lisberger,"$33,000,525",PG,326,171,118K
The Last Picture Show (1971),8.0,Won 2 Oscars,19 wins & 22 nominations total,Peter Bogdanovich,"$29,146,131",R,208,98,45K
Hell or High Water (2016),7.6,Nominated for 4 Oscars,46 wins & 171 nominations total,David Mackenzie,"$37,879,877",R,483,311,217K
Seabiscuit (2003),7.3,Nominated for 7 Oscars,6 wins & 44 nominations total,Gary Ross,"$148,336,445",PG-13,485,162,71K
Wong Fei Hung (1991),7.3,Awards,5 wins & 4 nominations,Hark Tsui,"$3,826,459",R,75,72,18K
"As Above, So Below (2014)",6.2,Awards,1 win & 6 nominations,John Erick Dowdle,"$41,898,409",R,461,227,87K
Wind River (2017),7.7,Awards,15 wins & 26 nominations,Taylor Sheridan,"$43,980,821",R,729,388,229K
Nell (1994),6.5,Nominated for 1 Oscar,5 wins & 7 nominations total,Michael Apted,"$106,683,817",PG-13,100,34,29K
28 Days (2000),6.1,Awards,1 win,Betty Thomas,"Apr 16, 2000",PG-13,214,111,48K
3:10 to Yuma (1957),7.6,Awards,2 wins & 4 nominations total,Delmer Daves,1.85 : 1,Not Rated,133,71,19K
Centurion (2010),6.3,Awards,1 nomination,Neil Marshall,"$6,890,432",R,254,207,81K
The Professor and the Madman (2019),7.3,Awards,1 nomination,Farhad Safinia,"$5,091,012",Not Rated,450,72,41K
Professor Marston and the Wonder Women (2017),7.1,Awards,8 nominations,Angela Robinson,"$1,899,615",R,132,145,25K
The Meg (2018),5.6,Awards,4 wins & 6 nominations,Jon Turteltaub,"$530,438,278",PG-13,1.6K,412,162K
Moby Dick (1956),7.3,Awards,5 wins & 4 nominations,John Huston,"$4,500,000 (estimated)",Not Rated,144,60,19K
Oliver Twist (2005),6.8,Awards,2 wins & 4 nominations,Roman Polanski,"$42,580,321",PG-13,144,127,32K
Baby Driver (2017),7.6,Nominated for 3 Oscars,42 wins & 66 nominations total,Edgar Wright,"$226,945,087",R,1.2K,598,487K
Mid90s (2018),7.4,Awards,4 wins & 10 nominations,Jonah Hill,"$9,303,022",R,325,208,57K
Modern Times (1936),8.5,Awards,4 wins & 1 nomination,Charles Chaplin,"$457,902",G,333,121,231K
The Mule (2018),7.0,Awards,1 win & 10 nominations,Clint Eastwood,"$174,804,407",R,783,257,128K
The Basketball Diaries (1995),7.3,Awards,1 win & 10 nominations,Clint Eastwood,"$2,402,438",R,783,257,128K
Nymphomaniac: Vol. I (2013),6.9,Awards,14 wins & 30 nominations,Lars von Trier,"$13,551,156",Not Rated,277,361,121K
This Boy's Life (1993),7.3,Awards,2 wins & 2 nominations,Michael Caton-Jones,"$4,104,962",R,102,47,51K
Papillon (1973),8.0,Nominated for 1 Oscar,2 wins & 2 nominations total,Franklin J. Schaffner,"$53,267,000",R,228,80,127K
A Perfect World (1993),7.5,Awards,1 win & 1 nomination,Clint Eastwood,"$135,130,999",PG-13,168,70,78K
Jack Reacher: Never Go Back (2016),6.2,Awards,1 win,Edward Zwick,"$162,146,076",PG-13,428,305,148K
Collateral (2004),7.5,Nominated for 2 Oscars,22 wins & 73 nominations total,Michael Mann,"$220,239,925",R,978,241,382K
Triple Frontier (2019),6.4,Awards,3 nominations,J.C. Chandor,"$115,000,000 (estimated)",R,993,140,119K
Transformers: The Last Knight (2017),5.2,Awards,5 wins & 19 nominations,Michael Bay,"Jun 25, 2017",PG-13,923,299,144K
Vera Cruz (1954),7.1,Awards,5 wins & 19 nominations,Michael Bay,"$3,000,000 (estimated)",PG-13,923,299,144K
The Equalizer 2 (2018),6.7,Awards,1 win & 4 nominations,Antoine Fuqua,"$190,400,157",R,781,241,148K
The 300 Spartans (1962),6.6,Awards,1 win & 4 nominations,Antoine Fuqua,"£500,000 (estimated)",R,781,241,148K
Chaplin (1992),7.5,Nominated for 3 Oscars,3 wins & 19 nominations total,Richard Attenborough,"$9,493,259",PG-13,191,62,56K
Bumblebee (2018),6.7,Awards,2 wins & 13 nominations,Travis Knight,"$467,989,645",PG-13,1.4K,253,153K
The Enforcer (1976),6.7,Awards,2 nominations,James Fargo,"$46,236,000",R,140,71,44K
Capote (2005),7.3,Won 1 Oscar,59 wins & 89 nominations total,Bennett Miller,"$49,327,405",R,457,278,130K
Rocketman (2019),7.3,Won 1 Oscar,22 wins & 81 nominations total,Dexter Fletcher,"$195,320,400",R,1K,360,161K
Kingsman: The Secret Service (2014),7.7,Awards,10 wins & 32 nominations,Matthew Vaughn,"$414,351,546",R,1K,476,623K
The Aeronauts (2019),6.6,Awards,11 nominations,Tom Harper,"$3,485,251",PG-13,428,137,31K
Chi bi (2008),7.4,Awards,14 wins & 44 nominations,John Woo,"$129,710,514",R,125,171,45K
King Arthur: Legend of the Sword (2017),6.7,Awards,10 nominations,Guy Ritchie,"$148,675,066",PG-13,1K,360,206K
Knives Out (2019),7.9,Nominated for 1 Oscar,52 wins & 112 nominations total,Rian Johnson,"$311,605,581",PG-13,2.7K,480,553K
Continuavano a chiamarlo Trinità (1971),7.3,Awards,1 nomination,Enzo Barboni,Trinity Is Still My Name,G,25,16,15K
Blade II (2002),6.7,Awards,6 wins & 10 nominations,Guillermo del Toro,"$155,010,032",R,599,218,209K
Black Mirror: Bandersnatch (2018),7.1,Won 1 Primetime Emmy,5 wins & 10 nominations total,David Slade,TV-MA,TV-MA,1K,100,121K
Grumpy Old Men (1993),7.0,Awards,1 win & 1 nomination,Donald Petrie,"$70,172,621",PG-13,106,45,46K
Rush Hour (1998),7.0,Awards,6 wins & 9 nominations,Brett Ratner,"$244,721,064",PG-13,369,85,254K
Gentlemen Prefer Blondes (1953),7.2,Awards,1 nomination,Howard Hawks,$648,Approved,175,84,35K
1917 (2019),8.3,Won 3 Oscars,134 wins & 200 nominations total,Sam Mendes,"$384,929,181",R,3.2K,509,509K
Falling Down (1993),7.6,Awards,1 win & 2 nominations,Joel Schumacher,"$40,903,593",R,492,96,182K
The Last Boy Scout (1991),7.0,Awards,2 nominations,Tony Scott,"$59,509,925",R,189,73,98K
Saw II (2005),6.6,Awards,4 wins & 11 nominations,Darren Lynn Bousman,"$147,748,505",R,924,257,244K
Mortal Engines (2018),6.1,Awards,3 wins & 3 nominations,Christian Rivers,"$83,869,818",PG-13,1.1K,227,119K
Midway (1976),6.8,Awards,3 wins & 3 nominations,Christian Rivers,"Jun 20, 1976",PG-13,1.1K,227,119K
National Lampoon's Christmas Vacation (1989),7.6,Awards,3 wins & 3 nominations,Christian Rivers,"$73,594,646",PG-13,1.1K,227,119K
Gemini Man (2019),5.7,Awards,1 win & 6 nominations,Ang Lee,1.85 : 1,PG-13,1.2K,289,105K
How to Train Your Dragon 2 (2014),7.8,Nominated for 1 Oscar,15 wins & 61 nominations total,Dean DeBlois,"$621,537,519",PG,429,319,319K
Tonari no Totoro (1988),8.2,Awards,5 wins & 2 nominations,Hayao Miyazaki,"Sep 30, 2018",G,532,147,315K
Logan (2017),8.1,Nominated for 1 Oscar,28 wins & 77 nominations total,James Mangold,"$619,179,950",R,1.6K,655,699K
Kong: Skull Island (2017),6.6,Nominated for 1 Oscar,1 win & 20 nominations total,Jordan Vogt-Roberts,"$566,652,812",PG-13,1K,607,302K
Kon-Tiki (2012),7.2,Nominated for 1 Oscar,12 wins & 14 nominations total,Joachim Rønning,"$22,842,887",PG-13,92,161,48K
Her (2013),8.0,Won 1 Oscar,83 wins & 186 nominations total,Spike Jonze,"$48,517,427",R,1.2K,632,574K
The Warriors (1979),7.6,Won 1 Oscar,83 wins & 186 nominations total,Spike Jonze,"$22,490,471",R,1.2K,632,574K
We Bought a Zoo (2011),7.1,Awards,1 win & 8 nominations,Cameron Crowe,"$120,081,841",PG,257,269,140K
21 Grams (2003),7.6,Nominated for 2 Oscars,30 wins & 79 nominations total,Alejandro G. Iñárritu,"$60,427,839",R,592,179,232K
The Killing (1956),8.0,Awards,1 nomination total,Stanley Kubrick,"$320,000 (estimated)",Approved,422,118,86K
Festen (1998),8.1,Awards,28 wins & 23 nominations total,Thomas Vinterberg,"$1,657,778",R,285,110,84K
Cidade de Deus (2002),8.6,Nominated for 4 Oscars,74 wins & 50 nominations total,Fernando Meirelles,"$30,680,793",R,1K,219,727K
Master and Commander: The Far Side of the World (2003),7.4,Won 2 Oscars,23 wins & 90 nominations total,Peter Weir,"$211,622,535",PG-13,776,267,213K
Hooligans (2005),7.4,Awards,4 wins,Lexi Alexander,"$3,814,717",R,414,80,147K
Kill Bill: Vol. 2 (2004),8.0,Awards,23 wins & 84 nominations,Quentin Tarantino,"$154,118,820",R,1K,311,720K
True Romance (1993),7.9,Awards,1 win & 10 nominations,Tony Scott,"$13,088,850",R,585,152,219K
Natural Born Killers (1994),7.3,Awards,5 wins & 11 nominations,Oliver Stone,"$50,283,563",R,663,166,226K
The Walk (2015),7.3,Awards,3 wins & 17 nominations,Robert Zemeckis,"$61,181,942",PG,261,371,125K
The Longest Day (1962),7.8,Won 2 Oscars,8 wins & 6 nominations total,Ken Annakin,"$10,000,000 (estimated)",G,250,59,54K
La cité des enfants perdus (1995),7.5,Awards,5 wins & 14 nominations,Marc Caro,"Dec 17, 1995",R,259,56,67K
Weird Science (1985),6.6,Awards,1 nomination,John Hughes,"$38,934,048",PG-13,197,100,85K
Get Out (2017),7.7,Won 1 Oscar,149 wins & 206 nominations total,Jordan Peele,"$255,589,157",R,1.7K,498,539K
The Grapes of Wrath (1940),8.1,Won 2 Oscars,10 wins & 5 nominations total,John Ford,"$800,000 (estimated)",Passed,371,104,90K
300: Rise of an Empire (2014),6.2,Awards,2 wins & 7 nominations,Noam Murro,"$337,580,051",R,632,389,290K
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),8.4,Nominated for 4 Oscars,14 wins & 11 nominations total,Stanley Kubrick,"Jul 17, 1994",PG,1K,236,471K
Män som hatar kvinnor (2009),7.8,Awards,18 wins & 35 nominations total,Niels Arden Oplev,"$104,414,200",R,329,339,213K
Juno (2007),7.4,Won 1 Oscar,89 wins & 100 nominations total,Jason Reitman,"$232,372,681",PG-13,968,390,506K
The Butterfly Effect (2004),7.6,Awards,1 win & 8 nominations,Eric Bress,"$96,822,421",R,1.2K,180,470K
The Mission (1986),7.4,Won 1 Oscar,15 wins & 27 nominations total,Roland Joffé,"$17,502,499",PG,235,71,60K
Die Fälscher (2007),7.6,Won 1 Oscar,7 wins & 10 nominations total,Stefan Ruzowitzky,"$18,814,713",R,126,172,45K
12 Years a Slave (2013),8.1,Won 3 Oscars,242 wins & 336 nominations total,Steve McQueen,"$187,733,202",R,941,491,670K
Rise of the Planet of the Apes (2011),7.5,Nominated for 1 Oscar,21 wins & 43 nominations total,Rupert Wyatt,"$481,800,873",PG-13,740,565,511K
Shot Caller (2017),7.3,Awards,1 nomination,Ric Roman Waugh,"$3,440,362",R,354,72,80K
Coach Carter (2005),7.3,Awards,3 wins & 15 nominations,Thomas Carter,"$76,669,554",PG-13,260,122,138K
Zombieland (2009),7.6,Awards,10 wins & 29 nominations,Ruben Fleischer,"$102,392,080",R,754,496,547K
Let's Be Cops (2014),6.4,Awards,2 nominations,Luke Greenfield,"$138,224,951",R,186,138,131K
The House That Jack Built (2018),6.8,Awards,11 wins & 20 nominations,Lars von Trier,"$3,081,913",R,451,263,68K
Lo chiamavano Jeeg Robot (2015),7.0,Awards,17 wins & 28 nominations,Gabriele Mainetti,"$5,973,344",R,451,263,68K
The Bad Seed (1956),7.5,Nominated for 4 Oscars,1 win & 6 nominations total,Mervyn LeRoy,"$1,000,000 (estimated)",Approved,234,92,14K
Selma (2014),7.5,Won 1 Oscar,57 wins & 91 nominations total,Ava DuVernay,"$66,787,908",PG-13,285,386,90K
The Lighthouse (2019),7.5,Nominated for 1 Oscar,34 wins & 136 nominations total,Robert Eggers,"$18,124,206",R,1.4K,436,177K
The Mortal Instruments: City of Bones (2013),5.9,Awards,6 wins & 11 nominations,Harald Zwart,"$95,396,573",PG-13,524,221,131K
The Imitation Game (2014),8.0,Won 1 Oscar,49 wins & 163 nominations total,Morten Tyldum,"$233,555,708",PG-13,924,495,725K
Mean Streets (1973),7.2,Awards,5 wins & 5 nominations,Martin Scorsese,"$41,131",R,319,138,106K
Ingrid Goes West (2017),6.6,Awards,2 wins & 10 nominations,Matt Spicer,"$3,146,831",R,184,165,40K
Inception (2010),8.8,Won 4 Oscars,157 wins & 220 nominations total,Christopher Nolan,"$836,836,967",PG-13,4.4K,485,2.2M
The Boy in the Striped Pyjamas (2008),7.8,Awards,7 wins & 7 nominations,Mark Herman,"$40,416,563",PG-13,527,144,205K
Che: Part One (2008),7.2,Awards,4 wins & 13 nominations,Steven Soderbergh,"$34,209,066",Not Rated,80,171,46K
Sleeper (1973),7.2,Awards,2 wins & 2 nominations,Woody Allen,"$18,344,729",PG,141,66,42K
Fast Times at Ridgemont High (1982),7.2,Awards,2 nominations,Amy Heckerling,"$27,092,880",R,315,149,101K
Days of Thunder (1990),6.1,Nominated for 1 Oscar,1 win & 2 nominations total,Tony Scott,"$157,920,733",PG-13,142,87,84K
Insomnia (2002),7.2,Awards,1 win & 11 nominations,Christopher Nolan,"$113,758,770",R,728,115,286K
Man on Fire (2004),7.7,Awards,1 win & 7 nominations,Tony Scott,"$130,834,852",R,849,159,348K
Kiss Me Deadly (1955),7.6,Awards,1 win & 1 nomination,Robert Aldrich,"$952,000",Not Rated,207,126,20K
The 5th Wave (2016),5.2,Awards,1 nomination,J Blakeson,"$109,906,372",PG-13,445,212,105K
Before the Devil Knows You're Dead (2007),7.3,Awards,17 wins & 27 nominations,Sidney Lumet,"$25,038,466",R,328,208,101K
Dog Day Afternoon (1975),8.0,Won 1 Oscar,14 wins & 21 nominations total,Sidney Lumet,"$50,000,000",R,348,93,248K
The Naked Spur (1953),7.3,Nominated for 1 Oscar,2 nominations total,Anthony Mann,"$1,261,000 (estimated)",Passed,99,50,11K
All Is Lost (2013),6.9,Nominated for 1 Oscar,3 wins & 48 nominations total,J.C. Chandor,"$13,627,519",PG-13,416,376,79K
Mr. Smith Goes to Washington (1939),8.1,Won 1 Oscar,6 wins & 16 nominations total,Frank Capra,"$144,738",Passed,323,98,112K
Brubaker (1980),7.2,Nominated for 1 Oscar,1 win & 3 nominations total,Stuart Rosenberg,"$37,121,708",R,60,35,17K
"Heaven Knows, Mr. Allison (1957)",7.4,Nominated for 2 Oscars,1 win & 7 nominations total,John Huston,"$3,000,000 (estimated)",Approved,81,49,8.3K
Kingdom of Heaven (2005),7.2,Awards,5 wins & 15 nominations,Ridley Scott,"$218,122,627",R,1K,235,278K
Straight Outta Compton (2015),7.8,Nominated for 1 Oscar,28 wins & 40 nominations total,F. Gary Gray,"$201,634,991",R,407,386,191K
Unknown (2011),6.8,Awards,3 nominations,Jaume Collet-Serra,"$135,710,029",PG-13,440,368,257K
The Next Three Days (2010),7.3,Awards,3 nominations,Paul Haggis,"$67,448,651",PG-13,396,242,193K
The Escapist (2008),6.7,Awards,2 wins & 6 nominations,Rupert Wyatt,"$388,174",Not Rated,52,64,17K
Hellboy (2004),6.8,Awards,3 wins & 23 nominations,Guillermo del Toro,"$99,378,985",PG-13,674,110,317K
Ruby Sparks (2012),7.2,Awards,1 win & 11 nominations,Jonathan Dayton,"$9,368,803",R,161,284,99K
Burnt (2015),6.6,Awards,6 wins & 1 nomination,John Wells,"$36,606,743",R,214,198,112K
That Awkward Moment (2014),6.1,Awards,1 win & 2 nominations,Tom Gormican,"$45,640,143",R,122,165,101K
The Hundred-Foot Journey (2014),7.3,Awards,2 wins & 4 nominations,Lasse Hallström,"$89,514,453",PG,252,187,80K
Frequency (2000),7.3,Awards,2 wins & 8 nominations,Gregory Hoblit,"$68,106,245",PG-13,561,122,105K
Lethal Weapon 4 (1998),6.6,Awards,4 wins & 11 nominations,Richard Donner,"$285,444,603",R,326,141,159K
